input_name,raw_plant_id,canonical_lookup_key,source_row_count,query_status,http_status,error_message,matched_name,accepted_name,authorship,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,family_name,cache_key,cache_path
Abelmoschus manihot,1,abelmoschus manihot,1,ok,200,,Abelmoschus manihot (L.) Medik.,Abelmoschus manihot (L.) Medik.,(L.) Medik.,SPECIES,ACCEPTED,EXACT,100,3152706,3152706,3152706,3152705,6685,6,Malvaceae,2390483292b20751213cc99d7789e6a7604654619fcb54b27f6543d055a0304f,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\2390483292b20751213cc99d7789e6a7604654619fcb54b27f6543d055a0304f.json
Abelmoschus moschatus,2,abelmoschus moschatus,1,ok,200,,Abelmoschus moschatus (L.) Medik.,Abelmoschus moschatus (L.) Medik.,(L.) Medik.,SPECIES,ACCEPTED,EXACT,100,8312665,8312665,8312665,3152705,6685,6,Malvaceae,93df74ea50ab4e7c70dd05a5c82085a6838602454d210bedd3541d9ffe39f132,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\93df74ea50ab4e7c70dd05a5c82085a6838602454d210bedd3541d9ffe39f132.json
Abrus fruticulosus,3,abrus fruticulosus,1,ok,200,,Abrus fruticulosus Wall. ex Wight & Arn.,Abrus fruticulosus Wall. ex Wight & Arn.,Wall. ex Wight & Arn.,SPECIES,ACCEPTED,EXACT,99,5348700,5348700,5348700,2943776,5386,6,Fabaceae,e3d048f9602ea067cb6fdf05d39789df52ce0c6e835ab21d086ea90da86f289b,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e3d048f9602ea067cb6fdf05d39789df52ce0c6e835ab21d086ea90da86f289b.json
Abrus precatorius,4,abrus precatorius,1,ok,200,,Abrus precatorius L.,Abrus precatorius L.,L.,SPECIES,ACCEPTED,EXACT,99,5348711,5348711,5348711,2943776,5386,6,Fabaceae,3ce8cb459f74841cff720011f459b8456f5073d9928ba7c750133fde627d0748,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\3ce8cb459f74841cff720011f459b8456f5073d9928ba7c750133fde627d0748.json
Abutilon indicum,5,abutilon indicum,1,ok,200,,Abutilon indicum (L.) Sweet,Abutilon indicum (L.) Sweet,(L.) Sweet,SPECIES,ACCEPTED,EXACT,99,3152634,3152634,3152634,3152599,6685,6,Malvaceae,fe83502c108480974fea22baa14d856d2cb64acd65069d726c5e3ede666cd75e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\fe83502c108480974fea22baa14d856d2cb64acd65069d726c5e3ede666cd75e.json
Acalypha hispida,6,acalypha hispida,1,ok,200,,Acalypha hispida Burm.f.,Acalypha hispida Burm.f.,Burm.f.,SPECIES,ACCEPTED,EXACT,99,3056375,3056375,3056375,3055964,4691,6,Euphorbiaceae,ae2c6ee385d3adb163a2aac4d217b37717be2e415ae9100dc5d6b6622e3ae8ad,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\ae2c6ee385d3adb163a2aac4d217b37717be2e415ae9100dc5d6b6622e3ae8ad.json
Acalypha indica,7,acalypha indica,1,ok,200,,Acalypha indica L.,Acalypha indica L.,L.,SPECIES,ACCEPTED,EXACT,99,3056259,3056259,3056259,3055964,4691,6,Euphorbiaceae,046004ccfc2364bc3cf3a9283b3c9b1e80f1707c618a5c332f668004571957ad,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\046004ccfc2364bc3cf3a9283b3c9b1e80f1707c618a5c332f668004571957ad.json
Acanthus ilicifolius,8,acanthus ilicifolius,1,ok,200,,Acanthus ilicifolius L.,Acanthus ilicifolius L.,L.,SPECIES,ACCEPTED,EXACT,99,6359819,6359819,6359819,3173198,2393,6,Acanthaceae,a846ab255ef0e7243be47c6752d05e2fdd979b2ff06e58cdf24c96a532591a90,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a846ab255ef0e7243be47c6752d05e2fdd979b2ff06e58cdf24c96a532591a90.json
Achyranthes aspera,9,achyranthes aspera,1,ok,200,,Achyranthes aspera L.,Achyranthes aspera L.,L.,SPECIES,ACCEPTED,EXACT,99,3085168,3085168,3085168,3085166,3064,6,Amaranthaceae,4fe1bc71cccd3c9d2d20588c84c5c81f6d08526743b41ad947d7b08f11b7c613,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\4fe1bc71cccd3c9d2d20588c84c5c81f6d08526743b41ad947d7b08f11b7c613.json
Acorus calamus,10,acorus calamus,1,ok,200,,Acorus calamus L.,Acorus calamus L.,L.,SPECIES,ACCEPTED,EXACT,100,2873769,2873769,2873769,2730063,3719,6,Acoraceae,0b596f9ff9b476b57d8ca6c7f6ca4f19ec15cd2c4cb0c8b9dc7b504d48c27c7c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\0b596f9ff9b476b57d8ca6c7f6ca4f19ec15cd2c4cb0c8b9dc7b504d48c27c7c.json
Aegle marmelos,11,aegle marmelos,1,ok,200,,Aegle marmelos (L.) Corrêa,Aegle marmelos (L.) Corrêa,(L.) Corrêa,SPECIES,ACCEPTED,EXACT,99,5421195,5421195,5421195,8397331,2396,6,Rutaceae,afc98edd443f78c2f8ff5d143cc8c04dfe22b433267c1278c6a78060bb86dc62,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\afc98edd443f78c2f8ff5d143cc8c04dfe22b433267c1278c6a78060bb86dc62.json
Aerva lanata,12,aerva lanata,1,ok,200,,Aerva lanata (L.) Juss. ex Schult.,Ouret lanata (L.) Kuntze,(L.) Juss. ex Schult.,SPECIES,SYNONYM,EXACT,99,3085014,10974033,10974033,7323304,3064,6,Amaranthaceae,b8c2f960b7bd7cad2a80093f4dba85b8208dba38ffb3ec9e76175c6b542985d7,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\b8c2f960b7bd7cad2a80093f4dba85b8208dba38ffb3ec9e76175c6b542985d7.json
Agathis dammara,13,agathis dammara,1,ok,200,,Agathis dammara (Lamb.) Rich. & A.Rich.,Agathis dammara (Lamb.) Rich. & A.Rich.,(Lamb.) Rich. & A.Rich.,SPECIES,ACCEPTED,EXACT,99,5284442,5284442,5284442,2685008,3924,6,Araucariaceae,3b2a9740475fa484556765bf9fa756a5c0f9e41d1368795aa939c73d94a57f20,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\3b2a9740475fa484556765bf9fa756a5c0f9e41d1368795aa939c73d94a57f20.json
Ageratum conyzoides,14,ageratum conyzoides,1,ok,200,,Ageratum conyzoides L.,Ageratum conyzoides L.,L.,SPECIES,ACCEPTED,EXACT,99,5401673,5401673,5401673,3138550,3065,6,Asteraceae,03655d31b4d80a97e7da40b9524ccc448c744df61868d69ff2374baf6b42fbbc,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\03655d31b4d80a97e7da40b9524ccc448c744df61868d69ff2374baf6b42fbbc.json
Ageratum houstonianum,15,ageratum houstonianum,1,ok,200,,Ageratum houstonianum Mill.,Ageratum houstonianum Mill.,Mill.,SPECIES,ACCEPTED,EXACT,100,5401760,5401760,5401760,3138550,3065,6,Asteraceae,47b431be9699b4335ebfa6d0219dde63c39d78be70055db3ec2007d45401e3a4,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\47b431be9699b4335ebfa6d0219dde63c39d78be70055db3ec2007d45401e3a4.json
Aglaia odorata,16,aglaia odorata,1,ok,200,,Aglaia odorata Lour.,Aglaia odorata Lour.,Lour.,SPECIES,ACCEPTED,EXACT,100,5597349,5597349,5597349,3190479,2397,6,Meliaceae,825ffac22f3c78c8fc27f0ddac68bd44db17fb425f6e242173dd65e52e6737b8,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\825ffac22f3c78c8fc27f0ddac68bd44db17fb425f6e242173dd65e52e6737b8.json
Albizia chinensis,17,albizia chinensis,1,ok,200,,Albizia chinensis (Osbeck) Merr.,Albizia chinensis (Osbeck) Merr.,(Osbeck) Merr.,SPECIES,ACCEPTED,EXACT,100,2973197,2973197,2973197,2972897,5386,6,Fabaceae,86e6ea756235c985501564671826101fde64248d6dc11b132a75775ea750edcf,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\86e6ea756235c985501564671826101fde64248d6dc11b132a75775ea750edcf.json
Aleurites moluccana,18,aleurites moluccana,1,ok,200,,Aleurites moluccanus (L.) Willd.,Aleurites moluccanus (L.) Willd.,(L.) Willd.,SPECIES,ACCEPTED,VARIANT,98,4930679,4930679,4930679,3072436,4691,6,Euphorbiaceae,450aaf0e17890348ae7214518f4b97db5419993968f0c2cc1ccaafe9e835a476,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\450aaf0e17890348ae7214518f4b97db5419993968f0c2cc1ccaafe9e835a476.json
Allamanda cathartica,19,allamanda cathartica,1,ok,200,,Allamanda cathartica L.,Allamanda cathartica L.,L.,SPECIES,ACCEPTED,EXACT,99,3169836,3169836,3169836,3169834,6701,6,Apocynaceae,f703dc8ae1c87c744606b1663ac84f51ff97bc12bf5fdc8b2ca33dd3f5264a7d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f703dc8ae1c87c744606b1663ac84f51ff97bc12bf5fdc8b2ca33dd3f5264a7d.json
Allium cepa,20,allium cepa,1,ok,200,,Allium cepa L.,Allium cepa L.,L.,SPECIES,ACCEPTED,EXACT,100,2857697,2857697,2857697,9624496,7682,6,Amaryllidaceae,720db5a7ac11f2a9ec1b3a45799efa9c42fc38cb05a679be933511ad730e6c32,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\720db5a7ac11f2a9ec1b3a45799efa9c42fc38cb05a679be933511ad730e6c32.json
Allium chinense,21,allium chinense,1,ok,200,,Allium chinense G.Don,Allium chinense G.Don,G.Don,SPECIES,ACCEPTED,EXACT,99,2856307,2856307,2856307,9624496,7682,6,Amaryllidaceae,a4ae2420202cc3855f2732021d604e303e9c746a85bcfcb80500ad0a22a20730,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a4ae2420202cc3855f2732021d604e303e9c746a85bcfcb80500ad0a22a20730.json
Allium fistulosum,22,allium fistulosum,1,ok,200,,Allium fistulosum L.,Allium fistulosum L.,L.,SPECIES,ACCEPTED,EXACT,100,2856504,2856504,2856504,9624496,7682,6,Amaryllidaceae,e6c01b612329e854a754ebf5bb4416c1788962d5525455570d4f82e27c7658f3,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e6c01b612329e854a754ebf5bb4416c1788962d5525455570d4f82e27c7658f3.json
Allium sativum,23,allium sativum,1,ok,200,,Allium sativum L.,Allium sativum L.,L.,SPECIES,ACCEPTED,EXACT,100,2856681,2856681,2856681,9624496,7682,6,Amaryllidaceae,e7effb3f7c0f64fce9833c0011a2dfcdff029409c4515c178004b298cdda9275,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e7effb3f7c0f64fce9833c0011a2dfcdff029409c4515c178004b298cdda9275.json
Allium tuberosum,24,allium tuberosum,1,ok,200,,Allium tuberosum Rottler ex Spreng.,Allium tuberosum Rottler ex Spreng.,Rottler ex Spreng.,SPECIES,ACCEPTED,EXACT,99,2856297,2856297,2856297,9624496,7682,6,Amaryllidaceae,243b90127d82777b3c5cbac2a33abae8cbd8162824e66d0125ad158a7d6823b6,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\243b90127d82777b3c5cbac2a33abae8cbd8162824e66d0125ad158a7d6823b6.json
Alocasia macrorrhiza,25,alocasia macrorrhiza,1,ok,200,,Alocasia macrorrhiza (L.) Schott,Alocasia macrorrhizos (L.) G.Don,(L.) Schott,SPECIES,SYNONYM,EXACT,99,5708184,5329904,5329904,5329822,6979,6,Araceae,14cc9005c3ce5f63ffea68d454a56ff2eb869120ba60ab0df3f1ad5c3a8eb6de,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\14cc9005c3ce5f63ffea68d454a56ff2eb869120ba60ab0df3f1ad5c3a8eb6de.json
Aloe vera,26,aloe vera,1,ok,200,,Aloe vera (L.) Burm.f.,Aloe vera (L.) Burm.f.,(L.) Burm.f.,SPECIES,ACCEPTED,EXACT,99,2777724,2777724,2777724,2770879,4259209,6,Asphodelaceae,8feeddc1df37d28dbfab30c7d5e2902b80963e2f7b5c3db7bb51f505192de556,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8feeddc1df37d28dbfab30c7d5e2902b80963e2f7b5c3db7bb51f505192de556.json
Alpinia galanga,27,alpinia galanga,1,ok,200,,Alpinia galanga (L.) Willd.,Alpinia galanga (L.) Willd.,(L.) Willd.,SPECIES,ACCEPTED,EXACT,100,5302225,5302225,5302225,5301253,4687,6,Zingiberaceae,22fa4e3d87e04e4d40285eee6c9c76a8606236595db87f0b8a7d373e1e63df9e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\22fa4e3d87e04e4d40285eee6c9c76a8606236595db87f0b8a7d373e1e63df9e.json
Alpinia officinarum,28,alpinia officinarum,1,ok,200,,Alpinia officinarum Hance,Alpinia officinarum Hance,Hance,SPECIES,ACCEPTED,EXACT,100,5302199,5302199,5302199,5301253,4687,6,Zingiberaceae,0173e25738c18bc3b3bde6e03cf29bb4b89d9bc0904831cc3076af8a1fed8549,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\0173e25738c18bc3b3bde6e03cf29bb4b89d9bc0904831cc3076af8a1fed8549.json
Alstonia scholaris,29,alstonia scholaris,1,ok,200,,Alstonia scholaris (L.) R.Br.,Alstonia scholaris (L.) R.Br.,(L.) R.Br.,SPECIES,ACCEPTED,EXACT,100,5414410,5414410,5414410,8412045,6701,6,Apocynaceae,5e1bfea293aa201338f7f4bb65f507bf3f009a495231a0978ad535914fdd7256,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5e1bfea293aa201338f7f4bb65f507bf3f009a495231a0978ad535914fdd7256.json
Alternanthera philoxeroides,30,alternanthera philoxeroides,1,ok,200,,Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides (Mart.) Griseb.,(Mart.) Griseb.,SPECIES,ACCEPTED,EXACT,100,3084923,3084923,3084923,3084921,3064,6,Amaranthaceae,88c61518a8e430a5dd01433e3de00a62c5ff29eb1b252ccad6082555131d59aa,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\88c61518a8e430a5dd01433e3de00a62c5ff29eb1b252ccad6082555131d59aa.json
Alternanthera sessilis,31,alternanthera sessilis,1,ok,200,,Alternanthera sessilis (L.) R.Br. ex DC.,Alternanthera sessilis (L.) R.Br. ex DC.,(L.) R.Br. ex DC.,SPECIES,ACCEPTED,EXACT,99,3084939,3084939,3084939,3084921,3064,6,Amaranthaceae,1f644c6be1343409184cea4c6d2e8df02cf88ab10d6d4ae1fb503d3f58d2819a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1f644c6be1343409184cea4c6d2e8df02cf88ab10d6d4ae1fb503d3f58d2819a.json
Amaranthus spinosus,32,amaranthus spinosus,1,ok,200,,Amaranthus spinosus L.,Amaranthus spinosus L.,L.,SPECIES,ACCEPTED,EXACT,100,5384401,5384401,5384401,3085074,3064,6,Amaranthaceae,60e89cfa40e98faab798a6fa9756d3e26215e0e99dc9a4e0270eb94e55415fb2,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\60e89cfa40e98faab798a6fa9756d3e26215e0e99dc9a4e0270eb94e55415fb2.json
Amaranthus tricolor,33,amaranthus tricolor,1,ok,200,,Amaranthus tricolor L.,Amaranthus tricolor L.,L.,SPECIES,ACCEPTED,EXACT,100,5384397,5384397,5384397,3085074,3064,6,Amaranthaceae,79a0d2656cf920332433fdb82e08c1f69c18ea1c9c091724caf96c2e4465426d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\79a0d2656cf920332433fdb82e08c1f69c18ea1c9c091724caf96c2e4465426d.json
Amomum aculeatum,34,amomum aculeatum,1,ok,200,,Amomum aculeatum Roxb.,Meistera aculeata (Roxb.) Škorničk. & M.F.Newman,Roxb.,SPECIES,SYNONYM,EXACT,100,5301584,11037528,11037528,2758958,4687,6,Zingiberaceae,29a5cccdc9a426d13f3e3dec78c200a912760c49a2c4ea6b396949c9864f7807,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\29a5cccdc9a426d13f3e3dec78c200a912760c49a2c4ea6b396949c9864f7807.json
Anacardium occidentale,35,anacardium occidentale,1,ok,200,,Anacardium occidentale L.,Anacardium occidentale L.,L.,SPECIES,ACCEPTED,EXACT,99,5421368,5421368,5421368,5421367,2398,6,Anacardiaceae,82af74529044879525f7e6618ce0886ed9bf1bf053a77a826acc7025abe4524b,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\82af74529044879525f7e6618ce0886ed9bf1bf053a77a826acc7025abe4524b.json
Ananas comosus,36,ananas comosus,1,ok,200,,Ananas comosus (L.) Merr.,Ananas comosus (L.) Merr.,(L.) Merr.,SPECIES,ACCEPTED,EXACT,99,5288819,5288819,5288819,2699430,3740,6,Bromeliaceae,bfd7cc9252b9cec54eb5fd7a81d57dc50ff11d9e13ce308184806ef09c889267,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\bfd7cc9252b9cec54eb5fd7a81d57dc50ff11d9e13ce308184806ef09c889267.json
Andrographis paniculata,37,andrographis paniculata,1,ok,200,,Andrographis paniculata (Burm.fil.) Nees,Andrographis paniculata (Burm.fil.) Nees,(Burm.fil.) Nees,SPECIES,ACCEPTED,EXACT,99,3173178,3173178,3173178,7740842,2393,6,Acanthaceae,06478a7a812beb61bea2245065521da189ef6bc9b4825b2702c05efc6bf4e0f9,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\06478a7a812beb61bea2245065521da189ef6bc9b4825b2702c05efc6bf4e0f9.json
Angelica keiskei,38,angelica keiskei,1,ok,200,,Angelica keiskei (Miq.) Koidz.,Angelica keiskei (Miq.) Koidz.,(Miq.) Koidz.,SPECIES,ACCEPTED,EXACT,100,6026372,6026372,6026372,3034560,6720,6,Apiaceae,bd4ceec29a228cc0171856d01a0598a261ab8bf575955b175baed5a4bf5bb384,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\bd4ceec29a228cc0171856d01a0598a261ab8bf575955b175baed5a4bf5bb384.json
Annona muricata,39,annona muricata,1,ok,200,,Annona muricata L.,Annona muricata L.,L.,SPECIES,ACCEPTED,EXACT,99,5407273,5407273,5407273,3155252,9291,6,Annonaceae,e2bd6aa8acdc8339da70304d32854b489bbcbce512cd8e92bd226de9e5b10e98,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e2bd6aa8acdc8339da70304d32854b489bbcbce512cd8e92bd226de9e5b10e98.json
Annona reticulata,40,annona reticulata,1,ok,200,,Annona reticulata L.,Annona reticulata L.,L.,SPECIES,ACCEPTED,EXACT,99,5407123,5407123,5407123,3155252,9291,6,Annonaceae,a66995c671805d772c8f3a939a0c815197df942f0cb5aaac79692791552254a0,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a66995c671805d772c8f3a939a0c815197df942f0cb5aaac79692791552254a0.json
Annona squamosa,41,annona squamosa,1,ok,200,,Annona squamosa L.,Annona squamosa L.,L.,SPECIES,ACCEPTED,EXACT,99,5407099,5407099,5407099,3155252,9291,6,Annonaceae,e4260ece5d8a371636d34ce665c381843630c6783c8ef53b8e68064d433ae893,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e4260ece5d8a371636d34ce665c381843630c6783c8ef53b8e68064d433ae893.json
Anredera cordifolia,42,anredera cordifolia,1,ok,200,,Anredera cordifolia (Ten.) Steenis,Anredera cordifolia (Ten.) Steenis,(Ten.) Steenis,SPECIES,ACCEPTED,EXACT,100,3083508,3083508,3083508,3083506,3063,6,Basellaceae,c451a63472c9df6e7ca18a58cfb5f112a284f994a92f830aa911ed1cb0e5b0d4,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\c451a63472c9df6e7ca18a58cfb5f112a284f994a92f830aa911ed1cb0e5b0d4.json
Antiaris toxicaria,43,antiaris toxicaria,1,ok,200,,Antiaris toxicaria (Pers.) Lesch.,Antiaris toxicaria (Pers.) Lesch.,(Pers.) Lesch.,SPECIES,ACCEPTED,EXACT,100,7262663,7262663,7262663,7262656,6640,6,Moraceae,3bc41a816dc02655176d63b67d2a1d2b187dc36316f405d2f5d52e026f4fa536,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\3bc41a816dc02655176d63b67d2a1d2b187dc36316f405d2f5d52e026f4fa536.json
Apium graveolens,44,apium graveolens,1,ok,200,,Apium graveolens L.,Apium graveolens L.,L.,SPECIES,ACCEPTED,EXACT,99,5371879,5371879,5371879,3034812,6720,6,Apiaceae,867feedad2725ff7b530cfd27b7ee12f90ead7d8c4380c191acfc46b1cbd00b7,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\867feedad2725ff7b530cfd27b7ee12f90ead7d8c4380c191acfc46b1cbd00b7.json
Arachis hypogaea,45,arachis hypogaea,1,ok,200,,Arachis hypogaea L.,Arachis hypogaea L.,L.,SPECIES,ACCEPTED,EXACT,100,5353770,5353770,5353770,2956684,5386,6,Fabaceae,2ed0286feb540c67d3334ff6eb101535c1954f1fc3303453bb1157dbfa7794e4,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\2ed0286feb540c67d3334ff6eb101535c1954f1fc3303453bb1157dbfa7794e4.json
Arcangelisia flava,46,arcangelisia flava,1,ok,200,,Arcangelisia flava (L.) Merr.,Arcangelisia flava (L.) Merr.,(L.) Merr.,SPECIES,ACCEPTED,EXACT,100,3830318,3830318,3830318,7268743,2411,6,Menispermaceae,1631e7d2af7b865be01adf224b3d22ff25d5604c7509d06221bd91c96e2d720e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1631e7d2af7b865be01adf224b3d22ff25d5604c7509d06221bd91c96e2d720e.json
Areca catechu,47,areca catechu,1,ok,200,,Areca catechu L.,Areca catechu L.,L.,SPECIES,ACCEPTED,EXACT,100,2736531,2736531,2736531,2736518,7681,6,Arecaceae,bd7a596fce570f57bf6f553245fc263f8c3656f64b487b251ded2e111bc6ac31,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\bd7a596fce570f57bf6f553245fc263f8c3656f64b487b251ded2e111bc6ac31.json
Artemisia abrotanum,48,artemisia abrotanum,1,ok,200,,Artemisia abrotanum L.,Artemisia abrotanum L.,L.,SPECIES,ACCEPTED,EXACT,99,8042568,8042568,8042568,3120641,3065,6,Asteraceae,44ea3017fed916787b2b31a0be11c7cc2f23b6a35bb5969f90363f1425c542a5,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\44ea3017fed916787b2b31a0be11c7cc2f23b6a35bb5969f90363f1425c542a5.json
Artemisia cina,49,artemisia cina,1,ok,200,,Artemisia cina O.C.Berg & Schmidt,Artemisia cina O.C.Berg & Schmidt,O.C.Berg & Schmidt,SPECIES,ACCEPTED,EXACT,99,3120942,3120942,3120942,3120641,3065,6,Asteraceae,42a8e62220eff648bd41c31bb2451e5aa343260250b9dffc7211773d0454c926,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\42a8e62220eff648bd41c31bb2451e5aa343260250b9dffc7211773d0454c926.json
Artemisia lactiflora,50,artemisia lactiflora,1,ok,200,,Artemisia lactiflora Wall. ex DC.,Artemisia lactiflora Wall. ex DC.,Wall. ex DC.,SPECIES,ACCEPTED,EXACT,99,3121137,3121137,3121137,3120641,3065,6,Asteraceae,1daa360098b2e5740fb97e58f45c3e930a206049a8bcd1e9dfb0892c2968d915,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1daa360098b2e5740fb97e58f45c3e930a206049a8bcd1e9dfb0892c2968d915.json
Artemisia vulgaris,51,artemisia vulgaris,1,ok,200,,Artemisia vulgaris L.,Artemisia vulgaris L.,L.,SPECIES,ACCEPTED,EXACT,99,3120946,3120946,3120946,3120641,3065,6,Asteraceae,1d8f89a4be9f6736031e6831817a80d9669254b979328de3c38f9a6073cc562a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1d8f89a4be9f6736031e6831817a80d9669254b979328de3c38f9a6073cc562a.json
Artocarpus altilis,52,artocarpus altilis,1,ok,200,,Artocarpus altilis (Parkinson) Fosberg,Artocarpus altilis (Parkinson) Fosberg,(Parkinson) Fosberg,SPECIES,ACCEPTED,EXACT,99,2984573,2984573,2984573,2984563,6640,6,Moraceae,7f37f8d5f4edb7509417ff86d38e8c854c7e4fbba3f6ec091ba3bea971ea6a9d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\7f37f8d5f4edb7509417ff86d38e8c854c7e4fbba3f6ec091ba3bea971ea6a9d.json
Artocarpus communis,53,artocarpus communis,1,ok,200,,Artocarpus communis J.R.Forst. & G.Forst.,Artocarpus altilis (Parkinson) Fosberg,J.R.Forst. & G.Forst.,SPECIES,SYNONYM,EXACT,100,2984574,2984573,2984573,2984563,6640,6,Moraceae,5a0085b8df34c447bb2b29906728c264a0fb0eb8dd68b861e6b2d3e76a1a0ae2,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5a0085b8df34c447bb2b29906728c264a0fb0eb8dd68b861e6b2d3e76a1a0ae2.json
Artocarpus heterophyllus,54,artocarpus heterophyllus,1,ok,200,,Artocarpus heterophyllus Lam.,Artocarpus heterophyllus Lam.,Lam.,SPECIES,ACCEPTED,EXACT,100,2984565,2984565,2984565,2984563,6640,6,Moraceae,d72d554719183011e42924a313f15a1225e41a378daacd78b917f93d0c68605f,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\d72d554719183011e42924a313f15a1225e41a378daacd78b917f93d0c68605f.json
Asclepias curassavica,55,asclepias curassavica,1,ok,200,,Asclepias curassavica L.,Asclepias curassavica L.,L.,SPECIES,ACCEPTED,EXACT,99,3170241,3170241,3170241,3170229,6701,6,Apocynaceae,dca3ddb4a5ee3d8461d96446f9f4b022064abd9e2ddac7c62f592e9fb3d0a3f0,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\dca3ddb4a5ee3d8461d96446f9f4b022064abd9e2ddac7c62f592e9fb3d0a3f0.json
Asparagus cochinchinensis,56,asparagus cochinchinensis,1,ok,200,,Asparagus cochinchinensis (Lour.) Merr.,Asparagus cochinchinensis (Lour.) Merr.,(Lour.) Merr.,SPECIES,ACCEPTED,EXACT,100,2768772,2768772,2768772,9527393,7683,6,Asparagaceae,081b3142938c37b1ddf06e270123fc18fcec74e4556e440ea78442751fd2d84a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\081b3142938c37b1ddf06e270123fc18fcec74e4556e440ea78442751fd2d84a.json
Atropa belladonna,57,atropa belladonna,1,ok,200,,Atropa belladonna L.,Atropa belladonna L.,L.,SPECIES,ACCEPTED,EXACT,100,3802655,3802655,3802655,2928892,7717,6,Solanaceae,f6465ccad6efee91625be1f7b3daed9128c285d805d8455caca476ae15d49093,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f6465ccad6efee91625be1f7b3daed9128c285d805d8455caca476ae15d49093.json
Aucuba japonica,58,aucuba japonica,1,ok,200,,Aucuba japonica Thunb.,Aucuba japonica Thunb.,Thunb.,SPECIES,ACCEPTED,EXACT,100,3033077,3033077,3033077,9578104,8805,6,Garryaceae,da59840232a92731f4e7047fde0fada36bbf0f4a92321478873f92b2767d6c26,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\da59840232a92731f4e7047fde0fada36bbf0f4a92321478873f92b2767d6c26.json
